id	inTagTable	father	mother	hatchedAt	hatchState	hatchLocation	sex	rearedBy	releasedAt	poisoned	firstBredAt	chicks	mateIn1999	mateIn2000	mateIn2001	mateIn2002	mateIn2003	mateIn2004	mateIn2005	mateIn2006	mateIn2007	mateIn2008	mateIn2009	mateIn2010	mateIn2011	mateIn2012	diedAt
358	358	50	88	3/30/2005	1	Birds of Prey	1	2	9/26/2006	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	7/6/2009
365	365	104	76	4/15/2005	1	Birds of Prey	1	2	9/26/2006	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
364	364	53	34	4/14/2005	1	Birds of Prey	0	2	10/8/2006	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	4/21/2011
369	369	92	94	4/21/2005	1	Birds of Prey	1	1	11/1/2006	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
360	360	55	84	4/3/2005	1	Birds of Prey	1	2	11/21/2006	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
400	400	50	88	4/11/2006	1	Birds of Prey	0	0	4/24/2007	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
401	401	71	56	4/13/2006	1	Birds of Prey	1	0	4/24/2007	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
405	405	27	139	4/18/2006	1	Birds of Prey	1	1	8/21/2007	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
411	411	90	224	4/26/2006	1	Birds of Prey	1	0	8/22/2007	2	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
402	402	99	57	4/14/2006	1	Birds of Prey	0	1	11/7/2007		null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1/9/2008
458	458	99	88	6/3/2007	1	Birds of Prey	0	0	9/23/2008	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	3/23/2010
452	452	85	77	5/21/2007	1	Birds of Prey	1	1	10/28/2008	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
448	448	47	51	5/8/2007	1	Birds of Prey	1	1	11/6/2008	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
451	451	67	30	5/15/2007	1	Birds of Prey	1	1	11/6/2008	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
438	438	104	76	4/21/2007	1	Birds of Prey	0	1	12/6/2008	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
478	478	47	51	4/23/2008	1	Birds of Prey	1	0	10/3/2009	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	4/22/2012
463	463	60	166	4/2/2008	1	Birds of Prey	1	1	11/24/2009	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
460	460	55	84	3/24/2008	1	Birds of Prey	0	1	11/29/2009	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
513	513	71	56	4/17/2009	1	Birds of Prey	0	1	9/15/2010	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
543	543	92	94	5/29/2009	1	Birds of Prey	0	0	10/12/2010	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
536	536	53	34	5/23/2009	1	Birds of Prey	0	1	10/14/2010	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
518	518	47	51	4/26/2009	1	Birds of Prey	0	0	11/3/2010	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
542	542	71	56	5/29/2009	1	Birds of Prey	1	1	11/3/2010	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
547	547	42	39	6/5/2009	1	Birds of Prey	0	1	11/16/2010	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
532	532	27	139	5/15/2009	1	Birds of Prey	0	0	11/17/2010		null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	12/9/2010
512	512	83	96	4/16/2009	1	Birds of Prey	1	1	5/26/2011	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1/9/2013
588	588	85	77	5/27/2010	1	Birds of Prey	1	0	9/24/2011	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	7/27/2012
589	589	83	96	6/13/2010	1	Birds of Prey	1	0	9/26/2011	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
564	564	104	76	4/17/2010	1	Birds of Prey	1	1	10/18/2011	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
576	576	92	94	5/10/2010	1	Birds of Prey	0	0	11/9/2011	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
584	584	71	56	5/21/2010	1	Birds of Prey	0	0	12/8/2011	2	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
585	585	62	93	5/22/2010	1	Birds of Prey	1	0	12/8/2011	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
583	583	99	88	5/17/2010	1	Birds of Prey	0	0	1/12/2012	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
625	625	62	93	5/21/2011	1	Birds of Prey	1	0	11/15/2012		null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
79	79	21	40	4/18/1992	1	LA zoo	0	2	12/2/1992	1	2000	4	0	33	0	33	33	0	0	0	0	0	0	247	0	0	
108		42	39	3/28/1994	1	LA zoo	0	2	8/29/1995	1	2002	2	0	0	0	100	0	0	0	0	0	0	0	0	0	295	
112	112	5	36	5/15/1994	1	LA zoo	0	2	8/29/1995	1	2002	1	0	0	0	107	0	0	0	0	0	0	0	0	0	0	5/1/2011
107	107	21	40	4/29/1994	1	LA zoo	1	2	8/29/1995	1	2002	6	0	0	0	112	0	161	0	161	161	0	161	0	161	0	
156	156	21	40	4/7/1997	1	LA zoo	0	2	11/14/1997	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
171	171	46	11	5/26/1997	1	LA zoo	0	0	12/12/1997	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
167	167	27	31	5/6/1997	1	LA zoo	1	0	12/12/1997	1	2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	190	
190	190	5	36	5/11/1998	1	LA zoo	0	0	1/19/1999	0	2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	167	
192	192	21	40	5/27/1998	1	LA zoo	0	0	1/19/1999	2	2004	3	0	0	0	0	0	21	0	0	21	0	21	0	0	0	
194	194	46	11	6/29/1998	1	LA zoo	1	0	1/19/1999	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
168	168	20	29	5/9/1997	1	LA zoo	1	1	1/19/1999	0	2007	3	0	0	0	0	0	0	0	0	208	0	208	0	208	0	
208	208	1	43	5/14/1999	1	LA zoo	0	0	3/4/2000	1	2007	3	0	0	0	0	0	0	0	0	168	0	168	0	168	0	
231	231	21	40	4/30/2000	1	LA zoo	0	0	4/5/2001	0	2008	1	0	0	0	0	0	0	0	0	0	199	0	0	0	0	
206	206	46	11	5/4/1999	1	LA zoo	1	2	5/22/2001	0	2007	4	0	0	0	0	0	0	0	0	255	0	255	255	0	370	
262	262	100	111	6/17/2001	1	LA zoo	1	1	5/1/2002	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
251	251	21	40	5/10/2001	1	LA zoo	1	1	12/12/2002	0	2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	306	
289	289	5	36	6/11/2002	1	LA zoo	0	1	6/18/2003	1	2008	3	0	0	0	0	0	0	0	0	0	98	98	0	0	239	
310	310	120	95	5/11/2003	1	LA zoo	0	0	10/29/2004	1	2010	1	0	0	0	0	0	0	0	0	0	0	0	219	0	0	
312	312	33	79	5/14/2003	1	LA zoo	0	1	10/29/2004	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
313	313	42	39	5/15/2003	1	LA zoo	1	1	10/29/2004	0	2009	2	0	0	0	0	0	0	0	0	0	0	303	0	375	0	
332	332	42	39	4/21/2004	1	LA zoo	1	1	9/17/2005	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
351	351	1	43	5/28/2004	1	LA zoo	1	1	9/17/2005	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
377		120	95	5/4/2005	1	LA zoo	0	0	6/3/2006	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	6/26/2008
408	408	33	68	4/22/2006	1	LA zoo	0	1	7/7/2007	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	12/29/2010
374	374	33	68	4/29/2005	1	LA zoo	1	1	10/3/2007	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
397	397	1	43	4/7/2006	1	LA zoo	1	0	10/19/2007	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	12/30/2010
457	457	42	39	6/2/2007	1	LA zoo	1	1	10/7/2008	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
431	431	168	208	4/12/2007	1	LA zoo	1	1	11/30/2008	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
418	418	1	43	5/10/2006	1	LA zoo	0	2	12/6/2008	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
422	422	189	40	5/14/2006	1	LA zoo	0	2	1/4/2009	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	7/12/2009
421	421	5	121	5/13/2006	1	LA zoo	1	2	1/13/2009	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
480	480	5	121	4/25/2008	1	LA zoo	1	1	9/29/2009	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
483	483	120	95	5/1/2008	1	LA zoo	0	0	11/11/2009	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
507	507	99	88	4/10/2009	1	LA zoo	0	1	11/17/2010	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
599	599	219	317	4/8/2011	1	LA zoo	0	0	4/9/2011	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
63	63	21	40	5/8/1991	1	LA zoo	1	2	6/23/2011	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
568	568	137	147	4/28/2010	1	LA zoo	1	1	10/18/2011	2	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
570	570	50	57	5/2/2010	1	LA zoo	1	1	11/9/2011	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
566	566	145	174	4/22/2010	1	LA zoo	1	1	11/29/2011	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
569	569	48	97	4/28/2010	1	LA zoo	0	1	1/5/2012	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
559	559	138	84	4/12/2010	1	LA zoo	1	1	1/6/2012	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
602	602	145	174	4/10/2011	1	LA zoo	1	0	1/29/2013		null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
606	606	168	208	4/22/2011	1	LA zoo	1	1	1/29/2013		null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
626	626	85	77	5/30/2011	1	Portland zoo	0	1	null		null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
340	340	46	11	5/9/2004	1	Portland zoo	1	1	9/17/2005	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
481	481	145	174	4/27/2008	1	Portland zoo	0	1	9/26/2009	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
487	487	137	147	5/6/2008	1	Portland zoo	0	0	10/29/2009	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
534	534	137	147	5/18/2009	1	Portland zoo	0	1	10/12/2010	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
511	511	73	37	4/14/2009	1	Portland zoo	1	1	10/14/2010		null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	11/28/2010
525	525	72	159	5/4/2009	1	Portland zoo	1	1	11/22/2010	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
563	563	348	155	4/15/2010	1	Portland zoo	0	0	10/18/2011	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
615	615	50	57	4/23/2011	1	Portland zoo	1	1	11/30/2012		null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
597	597	313	375	4/5/2011	1	San Diego Wild Animal Park	0	1	null		null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
98	98	7	12	3/11/1994	1	San Diego Wild Animal Park	1	2	2/8/1995	1	2002	3	0	0	0	155	0	0	0	0	0	289	289	0	0	0	
111	111	44	45	5/12/1994	1	San Diego Wild Animal Park	0	2	8/29/1995	1	2001	10	0	0	100	0	125	125	125	125	0	125	125	125	125	125	
125	125	44	45	6/2/1995	1	San Diego Wild Animal Park	1	0	2/13/1996	2	2003	9	0	0	0	0	111	111	111	111	0	111	111	111	111	111	
147	147	23	32	4/26/1996	1	San Diego Wild Animal Park	0	2	1/19/1997	0	2006	6	0	0	0	0	0	0	0	137	137	137	137	137	137	0	
137	137	20	29	5/4/1996	1	San Diego Wild Animal Park	1	2	1/19/1997	0	2006	6	0	0	0	0	0	0	0	147	147	147	147	147	147	0	
161	161	25	37	4/10/1997	1	San Diego Wild Animal Park	0	0	12/12/1997	0	2004	5	0	0	0	0	0	107	0	107	107	0	107	0	107	0	
180	180	44	45	4/1/1998	1	San Diego Wild Animal Park	0	2	1/19/1999	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
204	204	6	35	4/28/1999	1	San Diego Wild Animal Park	1	0	3/4/2000	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
209	209	20	29	5/15/1999	1	San Diego Wild Animal Park	1	1	3/4/2000	0	2009	2	0	0	0	0	0	0	0	0	0	0	236	0	0	236	
199	199	20	29	4/8/1999	1	San Diego Wild Animal Park	1	2	3/4/2000	1	2008	1	0	0	0	0	0	0	0	0	0	231	0	0	0	0	
222	222	25	37	4/17/2000	1	San Diego Wild Animal Park	0	0	4/5/2001	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
219	219	44	45	4/8/2000	1	San Diego Wild Animal Park	1	0	4/5/2001	1	2010	2	0	0	0	0	0	0	0	0	0	0	0	310	317	0	
214	214	23	32	3/22/2000	1	San Diego Wild Animal Park	0	2	5/22/2001	1	2006	2	0	0	0	0	0	0	0	237	0	237	0	0	0	0	1/7/2011
216	216	72	52	4/3/2000	1	San Diego Wild Animal Park	0	2	5/22/2001	0	2011	2	0	0	0	0	0	0	0	0	0	0	0	0	328	328	
213	213	25	37	2/29/2000	1	San Diego Wild Animal Park	1	2	5/22/2001	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	5/4/2011
238	238	25	37	3/28/2001	1	San Diego Wild Animal Park	1	2	4/3/2002	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	5/10/2008
239	239	7	31	4/11/2001	1	San Diego Wild Animal Park	1	2	4/3/2002	0	2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	289	
255	255	28	54	5/13/2001	1	San Diego Wild Animal Park	0	2	5/1/2002	0	2007	4	0	0	0	0	0	0	0	0	206	0	206	206	237	0	
237	237	44	45	3/22/2001	1	San Diego Wild Animal Park	1	2	7/3/2002	1	2006	3	0	0	0	0	0	0	0	214	0	214	0	0	255	0	
247	247	20	29	4/30/2001	1	San Diego Wild Animal Park	1	2	7/3/2002	0	2010	1	0	0	0	0	0	0	0	0	0	0	0	79	0	0	
242	242	44	45	4/20/2001	1	San Diego Wild Animal Park	1	0	12/12/2002	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
236	236	23	32	3/22/2001	1	San Diego Wild Animal Park	0	2	12/12/2002	0	2009	2	0	0	0	0	0	0	0	0	0	0	209	0	0	209	
278		7	31	4/24/2002	1	San Diego Wild Animal Park	1	0	12/20/2003	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	6/25/2008
286		23	32	5/16/2002	1	San Diego Wild Animal Park	1	1	1/5/2004	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	5/11/2009
318	318	44	32	6/9/2003	1	San Diego Wild Animal Park	1	1	9/25/2004	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	11/30/2012
298	298	7	31	4/11/2003	1	San Diego Wild Animal Park	0	2	9/25/2004	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	10/23/2012
311	311	7	31	5/12/2003	1	San Diego Wild Animal Park	0	2	9/25/2004	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
303	303	25	45	4/22/2003	1	San Diego Wild Animal Park	0	2	10/7/2004	1	2009	1	0	0	0	0	0	0	0	0	0	0	313	0	0	0	10/23/2009
294	294	44	32	4/7/2003	1	San Diego Wild Animal Park	0	2	10/14/2004	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	6/29/2011
306	306	44	32	5/4/2003	1	San Diego Wild Animal Park	0	1	10/28/2004	0	2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	251	
317	317	25	45	5/26/2003	1	San Diego Wild Animal Park	0	1	11/28/2004	1	2011	1	0	0	0	0	0	0	0	0	0	0	0	0	219	0	
330	330	25	45	4/19/2004	1	San Diego Wild Animal Park	1	0	9/17/2005	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
336	336	20	157	4/28/2004	1	San Diego Wild Animal Park	0	1	9/17/2005	1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	9/7/2008
335	335	44	32	4/23/2004	1	San Diego Wild Animal Park	1	1	9/17/2005	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
345	345	135	52	5/16/2004	1	San Diego Wild Animal Park	1	1	9/17/2005	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
375	375	44	32	5/2/2005	1	San Diego Wild Animal Park	0	0	6/4/2006	2	2011	1	0	0	0	0	0	0	0	0	0	0	0	0	313	0	
467	467	25	45	4/5/2008	1	San Diego Wild Animal Park	1	2	12/2/2009	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
590	590	28	54	3/14/2011	1	San Diego Wild Animal Park	1	0	10/3/2012	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
596	596	120	95	4/1/2011	1	San Diego Wild Animal Park	0	2	10/3/2012	0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
591	591	25	45	3/16/2011	1	San Diego Wild Animal Park	1	0	10/25/2012		null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
604	604	27	139	4/18/2011	1	San Diego Wild Animal Park	0	2	10/25/2012		null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
594	594	20	157	3/29/2011	1	San Diego Wild Animal Park	0	2	11/15/2012		null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
533		98	289	5/15/2009	0	California		0			null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	6/12/2009
617		99	88	4/23/2011	0	California		0			null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	5/4/2011
621		47	51	4/28/2011	0	California		0			null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	4/29/2011
629		309	69	6/6/2011	0	California		0			null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	10/2/2011
663	663	209	236	3/30/2012	0	California		0			null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
646		167	190	4/20/2012	0	California		0		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
664	664	251	306	5/8/2012	0	California		0		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
671		328	216	5/28/2012	0	California		0			null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	8/16/2012
428	428	21	192	3/26/2007	0	California	0	0		1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
449	449	206	255	5/12/2007	0	California	0	0		2	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
493	493	125	111	5/26/2008	0	California	0	0		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
501	501	27	139	4/3/2009	0	California	0	0		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
526	526	21	192	5/4/2009	0	California	0	0		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
538	538	209	236	5/23/2009	0	California	0	0		2	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
546		125	111	6/1/2009	0	California	0	0			null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	7/12/2009
550	550	221	264	3/24/2010	0	California	0	0		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
560	560	125	111	4/12/2010	0	California	0	0		1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
587		206	255	5/27/2010	0	California	0	0			null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	7/13/2010
598		60	166	4/7/2011	0	California	0	0		1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	12/8/2012
616	616	107	161	4/21/2011	0	California	0	0		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
670	670	239	289	5/5/2012	0	California	0	0			null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
21	21	2	11	5/14/1980	0	California	1	0		0	1986	19	40	40	40	0	0	192	0	0	192	0	192	0	0	0	
326	326	107	161	4/9/2004	0	California	1	0		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
328	328	21	192	4/11/2004	0	California	1	0		0	2011	2	0	0	0	0	0	0	0	0	0	0	0	0	216	216	
477	477	199	231	4/22/2008	0	California	1	0		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
489	489	237	214	5/13/2008	0	California	1	0		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
509	509	107	161	4/12/2009	0	California	1	0		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
539		206	255	5/24/2009	0	California	1	0			null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	9/10/2009
556		247	79	4/7/2010	0	California	1	0			null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	4/28/2010
567	567	53	34	4/25/2010	0	California	1	0		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
574	574	219	310	5/8/2010	0	California	1	0		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
627	627	125	111	5/28/2011	0	California	1	0		2	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
658	658	206	370	4/27/2012	0	California	1	0			null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
672		125	111	6/23/2012	0	California	1	0			null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	9/28/2012
624		90	121	5/22/2011	0	California		1			null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	5/29/2011
644		60	166	4/12/2012	0	California		1		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	11/10/2012
665	665	62	93	5/17/2012	0	California		1		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
370	370	7	31	4/22/2005	0	California	0	1		0	2012	1	0	0	0	0	0	0	0	0	0	0	0	0	0	206	
444	444	33	68	5/5/2007	0	California	0	1		1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
450	450	135	52	5/15/2007	0	California	0	1		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	12/12/2008
474	474	99	88	4/21/2008	0	California	0	1			null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	3/7/2009
499	499	60	166	3/28/2009	0	California	0	1		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	11/17/2011
503		33	68	4/4/2009	0	California	0	1			null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	7/6/2009
595		73	37	3/24/2011	0	California	0	1		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
603		348	155	4/9/2011	0	California	0	1		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
630	630	67	30	6/8/2011	0	California	0	1		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
648	648	4	23	4/23/2012	0	California	0	1			null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
654	654	61	70	4/25/2012	0	California	0	1			null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
412	412	42	39	5/1/2006	0	California	1	1		1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1/24/2012
462	462	33	68	3/28/2008	0	California	1	1		2	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
470	470	1	43	4/12/2008	0	California	1	1		1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
475		71	56	4/21/2008	0	California	1	1			null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	12/20/2008
482	482	98	289	4/30/2008	0	California	1	1		0	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
514	514	120	95	4/18/2009	0	California	1	1		1	null	0	null	null	null	null	null	null	null	null	null	null	null	null	null	null	
